Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          6.8,      7.234622, ,           6.8,      7.430966, ,           6.8,      6.174052, ,           6.8,      7.546019, ,           6.8,      7.595275, ,           6.8,      7.604055, ,           6.8,      7.647856, ,           6.8,      7.666895, ,           6.8,      7.676459, ,           6.8,      6.345232, ,           6.8,      6.662193, ,           6.8,       6.99411, ,           6.8,      7.034681, , 
            7,      7.194003, ,             7,      7.386101, ,             7,      6.146137, ,             7,       7.49852, ,             7,      7.546646, ,             7,      7.555243, ,             7,      7.597127, ,             7,      7.614801, ,             7,      7.623837, ,             7,      6.316137, ,             7,      6.630714, ,             7,      6.958126, ,             7,      6.997931, , 
          7.2,      7.153037, ,           7.2,      7.340445, ,           7.2,      6.117726, ,           7.2,      7.450671, ,           7.2,      7.497189, ,           7.2,      7.505089, ,           7.2,       7.54479, ,           7.2,      7.562201, ,           7.2,      7.571133, ,           7.2,      6.286552, ,           7.2,       6.59876, ,           7.2,      6.921708, ,           7.2,      6.960772, , 
          7.4,       7.11181, ,           7.4,      7.295709, ,           7.4,      6.088086, ,           7.4,      7.403132, ,           7.4,       7.44863, ,           7.4,      7.456478, ,           7.4,      7.495499, ,           7.4,      7.512392, ,           7.4,       7.52111, ,           7.4,      6.256012, ,           7.4,      6.566363, ,           7.4,      6.884854, ,           7.4,      6.923181, , 
          7.6,       7.07033, ,           7.6,      7.249663, ,           7.6,       6.05726, ,           7.6,      7.354312, ,           7.6,      7.398854, ,           7.6,       7.40661, ,           7.6,      7.444467, ,           7.6,      7.460479, ,           7.6,      7.468815, ,           7.6,      6.224562, ,           7.6,      6.533571, ,           7.6,      6.847677, ,           7.6,      6.885286, , 
          7.8,      7.028628, ,           7.8,      7.204812, ,           7.8,      6.025909, ,           7.8,      7.307188, ,           7.8,      7.350742, ,           7.8,      7.358341, ,           7.8,      7.395477, ,           7.8,      7.411212, ,           7.8,      7.419403, ,           7.8,      6.192648, ,           7.8,      6.500429, ,           7.8,      6.810187, ,           7.8,        6.8471, , 
            8,       6.98677, ,             8,      7.159293, ,             8,      5.993711, ,             8,      7.258334, ,             8,      7.300929, ,             8,      7.308376, ,             8,       7.34451, ,             8,      7.359681, ,             8,      7.367589, ,             8,      6.160072, ,             8,      6.466974, ,             8,      6.772443, ,             8,      6.808678, , 
          8.2,      6.944899, ,           8.2,       7.11372, ,           8.2,      5.961206, ,           8.2,      7.210876, ,           8.2,      7.251305, ,           8.2,      7.258585, ,           8.2,      7.294996, ,           8.2,      7.310873, ,           8.2,      7.318939, ,           8.2,      6.127204, ,           8.2,      6.433258, ,           8.2,      6.734491, ,           8.2,      6.770082, , 
          8.4,      6.902999, ,           8.4,      7.068175, ,           8.4,      5.927688, ,           8.4,      7.163628, ,           8.4,      7.203966, ,           8.4,      7.211108, ,           8.4,      7.246056, ,           8.4,      7.260888, ,           8.4,      7.268442, ,           8.4,      6.093603, ,           8.4,      6.399336, ,           8.4,      6.696397, ,           8.4,      6.731364, , 
          8.6,      6.861153, ,           8.6,      7.022823, ,           8.6,      5.893972, ,           8.6,      7.116459, ,           8.6,      7.156402, ,           8.6,      7.163407, ,           8.6,      7.197574, ,           8.6,      7.212016, ,           8.6,      7.219365, ,           8.6,      6.059792, ,           8.6,      6.365186, ,           8.6,      6.658175, ,           8.6,      6.692547, , 
          8.8,      6.819399, ,           8.8,      6.977667, ,           8.8,      5.859525, ,           8.8,      7.069304, ,           8.8,      7.108424, ,           8.8,      7.115292, ,           8.8,      7.148198, ,           8.8,      7.161787, ,           8.8,      7.168776, ,           8.8,      6.025443, ,           8.8,      6.330869, ,           8.8,      6.619917, ,           8.8,      6.653713, , 
            9,      6.777662, ,             9,      6.932777, ,             9,      5.824393, ,             9,      7.022434, ,             9,      7.060766, ,             9,      7.067502, ,             9,      7.099972, ,             9,      7.113491, ,             9,      7.120436, ,             9,      5.990595, ,             9,      6.296406, ,             9,      6.581586, ,             9,      6.614816, , 
          9.2,      6.735953, ,           9.2,      6.887541, ,           9.2,      5.788574, ,           9.2,      6.975627, ,           9.2,      7.012785, ,           9.2,      7.018985, ,           9.2,      7.050024, ,           9.2,      7.063572, ,           9.2,      7.070528, ,           9.2,      5.955262, ,           9.2,      6.261842, ,           9.2,      6.543248, ,           9.2,       6.57593, , 
          9.4,      6.694371, ,           9.4,      6.843327, ,           9.4,      5.752392, ,           9.4,       6.92939, ,           9.4,      6.965823, ,           9.4,      6.971984, ,           9.4,      7.002745, ,           9.4,       7.01613, ,           9.4,      7.023012, ,           9.4,      5.919656, ,           9.4,      6.227184, ,           9.4,      6.504924, ,           9.4,      6.537056, , 
          9.6,      6.652937, ,           9.6,      6.798402, ,           9.6,       5.71526, ,           9.6,      6.882418, ,           9.6,      6.918175, ,           9.6,      6.924284, ,           9.6,      6.954388, ,           9.6,      6.967276, ,           9.6,      6.973936, ,           9.6,      5.883405, ,           9.6,      6.192466, ,           9.6,      6.466669, ,           9.6,      6.498268, , 
          9.8,      6.611561, ,           9.8,      6.754692, ,           9.8,      5.677122, ,           9.8,       6.83707, ,           9.8,      6.872111, ,           9.8,      6.878108, ,           9.8,      6.907884, ,           9.8,      6.920753, ,           9.8,      6.927393, ,           9.8,       5.84648, ,           9.8,      6.157707, ,           9.8,      6.428505, ,           9.8,       6.45957, , 

