Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, ,           2.6,     0.6538334, , 
          2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, ,           2.8,     0.6537308, , 
            3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, ,             3,     0.6536268, , 
          3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, ,           3.2,     0.6535218, , 
          3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, ,           3.4,     0.6534157, , 
          3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, ,           3.6,     0.6533087, , 
          3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, ,           3.8,     0.6532009, , 
            4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, ,             4,     0.6530924, , 
          4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, ,           4.2,     0.6529833, , 
          4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, ,           4.4,     0.6528738, , 
          4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, ,           4.6,      0.652764, , 
          4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, ,           4.8,     0.6526538, , 
            5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, ,             5,     0.6525435, , 
          5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, ,           5.2,     0.6524331, , 
          5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, ,           5.4,     0.6523226, , 
          5.6,     0.6522123, ,           5.6,     0.6522123, , , , ,           5.6,     0.6522123, ,           5.6,     0.6522123, ,           5.6,     0.6522123, ,           5.6,     0.6522123, ,           5.6,     0.6522123, , , , , , , , , , , 

