Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, ,             3,     0.8476936, , 
          3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, ,           3.2,     0.8603109, , 
          3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, ,           3.4,     0.8729062, , 
          3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, ,           3.6,     0.8854792, , 
          3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, ,           3.8,     0.8980295, , 
            4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, ,             4,     0.9105569, , 
          4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, ,           4.2,     0.9230608, , 
          4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, ,           4.4,      0.935541, , 
          4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, ,           4.6,     0.9479972, , 
          4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, ,           4.8,     0.9604288, , 
            5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, ,             5,     0.9728357, , 
          5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, ,           5.2,     0.9852174, , 
          5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, ,           5.4,     0.9975736, , 
          5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, ,           5.6,      1.009904, , 
          5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, ,           5.8,      1.022208, , 
            6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, ,             6,      1.034486, , 

