Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
          7.4,      6.963776, ,           7.4,      7.138557, ,           7.4,      6.188192, ,           7.4,      6.557107, , 
          7.6,      6.928894, ,           7.6,      7.100272, ,           7.6,       6.15162, ,           7.6,      6.523225, , 
          7.8,      6.893719, ,           7.8,      7.061734, ,           7.8,       6.11436, ,           7.8,      6.488999, , 
            8,       6.85831, ,             8,       7.02289, ,             8,      6.076372, ,             8,      6.454471, , 
          8.2,      6.822692, ,           8.2,       6.98383, ,           8.2,       6.03764, ,           8.2,      6.419653, , 
          8.4,       6.78688, ,           8.4,      6.944914, ,           8.4,      5.998098, ,           8.4,      6.384605, , 
          8.6,      6.750928, ,           8.6,      6.905798, ,           8.6,      5.957731, ,           8.6,      6.349359, , 
          8.8,      6.714849, ,           8.8,      6.866611, ,           8.8,        5.9164, ,           8.8,      6.313922, , 
            9,      6.678667, ,             9,      6.827433, ,             9,      5.873922, ,             9,      6.278274, , 
          9.2,      6.642407, ,           9.2,      6.788283, ,           9.2,      5.830048, ,           9.2,       6.24242, , 
          9.4,      6.606107, ,           9.4,      6.749264, ,           9.4,      5.784551, ,           9.4,      6.206371, , 

