Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          0.2,      8.079689, ,           0.2,      8.559016, ,           0.2,      5.088363, ,           0.2,      8.754956, ,           0.2,      8.824283, ,           0.2,      8.835536, ,           0.2,      8.887251, ,           0.2,      8.907391, ,           0.2,      8.917509, ,           0.2,       5.56011, ,           0.2,      6.581068, ,           0.2,      7.448369, ,           0.2,      7.551094, , 
          0.4,       8.05954, ,           0.4,      8.547065, ,           0.4,      5.065817, ,           0.4,      8.746127, ,           0.4,      8.816865, ,           0.4,      8.828406, ,           0.4,      8.881573, ,           0.4,      8.902354, ,           0.4,      8.912813, ,           0.4,      5.531322, ,           0.4,      6.537975, ,           0.4,      7.416877, ,           0.4,      7.521315, , 
          0.6,      8.036469, ,           0.6,      8.532326, ,           0.6,      5.041624, ,           0.6,      8.734419, ,           0.6,       8.80649, ,           0.6,      8.818295, ,           0.6,      8.872796, ,           0.6,      8.894164, ,           0.6,      8.904935, ,           0.6,      5.500535, ,           0.6,      6.492088, ,           0.6,      7.382351, ,           0.6,       7.48851, , 
          0.8,      8.010567, ,           0.8,      8.514843, ,           0.8,      5.015719, ,           0.8,       8.71984, ,           0.8,      8.793139, ,           0.8,      8.805191, ,           0.8,      8.860946, ,           0.8,      8.882867, ,           0.8,      8.893921, ,           0.8,      5.467764, ,           0.8,      6.443627, ,           0.8,      7.344912, ,           0.8,      7.452794, , 
            1,      7.981935, ,             1,      8.494718, ,             1,       4.98826, ,             1,      8.702475, ,             1,      8.776866, ,             1,       8.78913, ,             1,      8.845969, ,             1,      8.868375, ,             1,      8.879676, ,             1,      5.433117, ,             1,      6.392571, ,             1,      7.304547, ,             1,      7.414174, , 
          1.2,      7.950676, ,           1.2,      8.472104, ,           1.2,      4.959588, ,           1.2,      8.682474, ,           1.2,      8.757824, ,           1.2,      8.770271, ,           1.2,      8.828048, ,           1.2,      8.850875, ,           1.2,       8.86239, ,           1.2,      5.396955, ,           1.2,      6.339308, ,           1.2,      7.261201, ,           1.2,      7.372617, , 
          1.4,      7.916759, ,           1.4,      8.447088, ,           1.4,      4.929561, ,           1.4,      8.659943, ,           1.4,      8.736125, ,           1.4,       8.74872, ,           1.4,      8.807278, ,           1.4,      8.830467, ,           1.4,      8.842166, ,           1.4,       5.35912, ,           1.4,      6.283652, ,           1.4,      7.214806, ,           1.4,      7.328057, , 
          1.6,      7.880463, ,           1.6,      8.419852, ,           1.6,      4.898486, ,           1.6,      8.635065, ,           1.6,      8.711975, ,           1.6,      8.724695, ,           1.6,      8.783935, ,           1.6,      8.807449, ,           1.6,       8.81931, ,           1.6,       5.31984, ,           1.6,      6.225633, ,           1.6,      7.165475, ,           1.6,      7.280639, , 
          1.8,      7.841803, ,           1.8,      8.390498, ,           1.8,      4.865995, ,           1.8,      8.607984, ,           1.8,      8.685529, ,           1.8,      8.698361, ,           1.8,       8.75819, ,           1.8,      8.781975, ,           1.8,      8.793972, ,           1.8,      5.278922, ,           1.8,      6.165494, ,           1.8,      7.112799, ,           1.8,      7.230019, , 
            2,      7.800683, ,             2,      8.359155, ,             2,      4.832824, ,             2,      8.578872, ,             2,       8.65701, ,             2,      8.669934, ,             2,      8.730243, ,             2,      8.754247, ,             2,      8.766358, ,             2,      5.236933, ,             2,      6.103361, ,             2,      7.056898, ,             2,      7.176273, , 
