Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, ,           2.4,     0.6435779, , 
          2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, ,           2.6,     0.6533217, , 
          2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, ,           2.8,     0.6630452, , 
            3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, ,             3,     0.6727479, , 
          3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, ,           3.2,     0.6824296, , 
          3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, ,           3.4,       0.69209, , 
          3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, ,           3.6,     0.7017286, , 
          3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, ,           3.8,     0.7113453, , 
            4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, ,             4,     0.7209396, , 
          4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, ,           4.2,     0.7305112, , 
          4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, ,           4.4,     0.7400598, , 
          4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, ,           4.6,     0.7495851, , 
          4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, ,           4.8,     0.7590867, , 
            5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, ,             5,     0.7685644, , 
          5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, ,           5.2,     0.7780179, , 
          5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, ,           5.4,     0.7874468, , 
          5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, ,           5.6,     0.7968508, , 
          5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, ,           5.8,     0.8062296, , 
            6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, ,             6,     0.8155828, , 
          6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, ,           6.2,     0.8249103, , 
          6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, , , , , , , , , , , , , ,           6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, ,           6.4,     0.8342117, , 
          6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, , , , , , , , , , , , , ,           6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, ,           6.6,     0.8434867, , 
          6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, , , , , , , , , , , , , ,           6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, ,           6.8,     0.8527349, , 

