Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            4,       7.49562, ,             4,       7.25674, ,             4,      8.767793, ,             4,      7.101915, ,             4,      7.021362, ,             4,      7.009091, ,             4,      6.946877, ,             4,       6.92491, ,             4,      6.915712, ,             4,      8.556649, ,             4,       8.25637, ,             4,      7.818164, ,             4,      7.752792, , 
          4.2,      7.514678, ,           4.2,      7.279992, ,           4.2,      8.786511, ,           4.2,      7.127076, ,           4.2,      7.049831, ,           4.2,      7.038517, ,           4.2,      6.980561, ,           4.2,      6.958075, ,           4.2,      6.949437, ,           4.2,      8.575992, ,           4.2,      8.275988, ,           4.2,      7.838421, ,           4.2,      7.773419, , 
          4.4,       7.53936, ,           4.4,      7.310893, ,           4.4,      8.807362, ,           4.4,      7.161778, ,           4.4,       7.08623, ,           4.4,      7.073642, ,           4.4,      7.018333, ,           4.4,      6.996537, ,           4.4,      6.988316, ,           4.4,      8.597478, ,           4.4,      8.297765, ,           4.4,      7.860665, ,           4.4,      7.796044, , 
          4.6,      7.568507, ,           4.6,      7.343294, ,           4.6,      8.835274, ,           4.6,      7.193295, ,           4.6,      7.125557, ,           4.6,      7.113762, ,           4.6,      7.059291, ,           4.6,      7.037759, ,           4.6,      7.028625, ,           4.6,        8.6317, ,           4.6,      8.343263, ,           4.6,      7.887875, ,           4.6,       7.82448, , 
          4.8,       7.59838, ,           4.8,      7.373633, ,           4.8,      8.859912, ,           4.8,      7.231429, ,           4.8,      7.168166, ,           4.8,      7.156615, ,           4.8,      7.104512, ,           4.8,      7.083637, ,           4.8,      7.074007, ,           4.8,      8.656997, ,           4.8,      8.369037, ,           4.8,      7.913697, ,           4.8,      7.850481, , 
            5,       7.63002, ,             5,      7.408837, ,             5,      8.886395, ,             5,      7.268213, ,             5,      7.206063, ,             5,      7.194674, ,             5,      7.142525, ,             5,      7.123209, ,             5,      7.113732, ,             5,      8.684105, ,             5,      8.396665, ,             5,      7.941076, ,             5,      7.878021, , 
          5.2,      7.663063, ,           5.2,      7.445542, ,           5.2,      8.914586, ,           5.2,       7.31198, ,           5.2,      7.250278, ,           5.2,      7.239726, ,           5.2,      7.190023, ,           5.2,      7.170379, ,           5.2,      7.161161, ,           5.2,      8.712924, ,           5.2,      8.426055, ,           5.2,      7.970478, ,           5.2,      7.907588, , 
          5.4,      7.699147, ,           5.4,       7.48398, ,           5.4,      8.944388, ,           5.4,      7.357761, ,           5.4,      7.296987, ,           5.4,      7.286941, ,           5.4,      7.239134, ,           5.4,       7.21992, ,           5.4,      7.210655, ,           5.4,      8.743372, ,           5.4,      8.457039, ,           5.4,      8.001738, ,           5.4,      7.939079, , 
          5.6,      7.734483, ,           5.6,      7.523718, ,           5.6,      8.975782, ,           5.6,      7.397991, ,           5.6,      7.338531, ,           5.6,       7.32866, ,           5.6,      7.281595, ,           5.6,      7.262462, ,           5.6,      7.253168, ,           5.6,      8.775377, ,           5.6,      8.489643, ,           5.6,        8.0349, ,           5.6,      7.972544, , 
          5.8,      7.775068, ,           5.8,       7.56757, ,           5.8,      9.008719, ,           5.8,       7.44558, ,           5.8,      7.388327, ,           5.8,      7.378479, ,           5.8,      7.332737, ,           5.8,       7.31433, ,           5.8,      7.305337, ,           5.8,       8.80885, ,           5.8,      8.523721, ,           5.8,      8.070336, ,           5.8,      8.008561, , 
