Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          7.2,       1.77554, ,           7.2,      1.719112, ,           7.2,      2.394492, ,           7.2,      1.693338, ,           7.2,      1.683052, ,           7.2,      1.672052, ,           7.2,      1.668208, ,           7.2,      1.666256, ,           7.2,      2.207222, ,           7.2,       2.06018, ,           7.2,      1.856463, , 
          7.4,      1.778792, ,           7.4,      1.720522, ,           7.4,      2.400925, ,           7.4,      1.694362, ,           7.4,      1.683999, ,           7.4,      1.673021, ,           7.4,      1.669201, ,           7.4,      1.667261, ,           7.4,      2.213816, ,           7.4,      2.067515, ,           7.4,      1.863392, , 
          7.6,      1.782504, ,           7.6,      1.722143, ,           7.6,      2.407637, ,           7.6,      1.695565, ,           7.6,      1.685119, ,           7.6,      1.674042, ,           7.6,      1.670328, ,           7.6,        1.6684, ,           7.6,      2.220812, ,           7.6,      2.075376, ,           7.6,       1.87093, , 
          7.8,      1.786755, ,           7.8,      1.723979, ,           7.8,      2.414721, ,           7.8,      1.696965, ,           7.8,      1.686425, ,           7.8,      1.675259, ,           7.8,      1.671452, ,           7.8,      1.669548, ,           7.8,      2.228305, ,           7.8,      2.083931, ,           7.8,      1.879301, , 
            8,      1.791672, ,             8,      1.726051, ,             8,      2.422028, ,             8,      1.698531, ,             8,      1.687914, ,             8,      1.676691, ,             8,      1.672914, ,             8,      1.670997, ,             8,       2.23607, ,             8,      2.092713, ,             8,      1.887935, , 
          8.2,      1.797356, ,           8.2,      1.728339, ,           8.2,      2.429677, ,           8.2,      1.700256, ,           8.2,      1.689567, ,           8.2,      1.678358, ,           8.2,      1.674614, ,           8.2,      1.672715, ,           8.2,      2.244351, ,           8.2,       2.10221, ,           8.2,      1.897487, , 
          8.4,       1.80409, ,           8.4,      1.730826, ,           8.4,      2.437841, ,           8.4,      1.702131, ,           8.4,      1.691324, ,           8.4,      1.680186, ,           8.4,      1.676459, ,           8.4,      1.674568, ,           8.4,      2.253525, ,           8.4,      2.113143, ,           8.4,      1.908927, , 
          8.6,      1.812437, ,           8.6,      1.733538, ,           8.6,      2.447088, ,           8.6,      1.704145, ,           8.6,      1.693245, ,           8.6,      1.681903, ,           8.6,      1.678416, ,           8.6,      1.676539, ,           8.6,      2.264693, ,           8.6,      2.127705, ,           8.6,      1.925161, , 
          8.8,      1.823715, ,           8.8,      1.736495, ,           8.8,      2.458848, ,           8.8,      1.706299, ,           8.8,       1.69529, ,           8.8,      1.683912, ,           8.8,      1.680206, ,           8.8,      1.678325, ,           8.8,      2.280857, ,           8.8,       2.15183, ,           8.8,      1.954014, , 
            9,       1.83566, ,             9,       1.73975, ,             9,      2.468586, ,             9,      1.708594, ,             9,      1.697465, ,             9,       1.68604, ,             9,      1.682318, ,             9,      1.680467, ,             9,      2.292496, ,             9,      2.166391, ,             9,      1.970727, , 
          9.2,      1.849347, ,           9.2,      1.743302, ,           9.2,      2.477575, ,           9.2,      1.711005, ,           9.2,      1.699748, ,           9.2,      1.688277, ,           9.2,      1.684562, ,           9.2,      1.682694, ,           9.2,      2.302268, ,           9.2,      2.176702, ,           9.2,       1.98228, , 
          9.4,       1.86431, ,           9.4,      1.747207, ,           9.4,      2.486677, ,           9.4,      1.713551, ,           9.4,      1.702147, ,           9.4,      1.690624, ,           9.4,      1.686915, ,           9.4,      1.685053, ,           9.4,      2.311965, ,           9.4,      2.186238, ,           9.4,      1.992814, , 
          9.6,      1.880371, ,           9.6,       1.75155, ,           9.6,      2.496028, ,           9.6,      1.716235, ,           9.6,      1.704661, ,           9.6,      1.693078, ,           9.6,      1.689374, ,           9.6,      1.687518, ,           9.6,      2.321912, ,           9.6,      2.195661, ,           9.6,      2.003103, , 
          9.8,      1.896126, ,           9.8,      1.756416, ,           9.8,      2.505769, ,           9.8,      1.719052, ,           9.8,      1.707293, ,           9.8,      1.695635, ,           9.8,      1.691936, ,           9.8,      1.690084, ,           9.8,      2.332301, ,           9.8,      2.205345, ,           9.8,      2.013148, , 
           10,      1.911475, ,            10,      1.762018, ,            10,      2.516017, ,            10,      1.722036, ,            10,      1.710072, ,            10,      1.698312, ,            10,      1.694611, ,            10,      1.692763, ,            10,       2.34331, ,            10,      2.215473, ,            10,      2.023059, , 

