Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, ,             1,     0.4879446, , 
          1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, ,           1.2,       0.50269, , 
          1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, ,           1.4,      0.517424, , 
          1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, ,           1.6,     0.5321461, , 
          1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, ,           1.8,     0.5468558, , 
            2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, ,             2,     0.5615529, , 
          2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, ,           2.2,      0.576237, , 
          2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, ,           2.4,     0.5909075, , 
          2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, ,           2.6,     0.6055642, , 
          2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, ,           2.8,     0.6202067, , 
            3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, ,             3,     0.6348346, , 
          3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, ,           3.2,     0.6494474, , 
          3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, ,           3.4,     0.6640448, , 
          3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, ,           3.6,     0.6786265, , 
          3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, ,           3.8,      0.693192, , 
            4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, ,             4,      0.707741, , 
          4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, ,           4.2,      0.722273, , 
          4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, ,           4.4,     0.7367877, , 
          4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, ,           4.6,     0.7512847, , 
          4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, ,           4.8,     0.7657637, , 
            5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, ,             5,     0.7802242, , 
          5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, ,           5.2,     0.7946659, , 
          5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, ,           5.4,     0.8090885, , 

