Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          2.2,      3.349526, ,           2.2,      3.147314, ,           2.2,      3.026208, ,           2.2,      2.974394, ,           2.2,       2.92466, ,           2.2,      2.908437, ,           2.2,      2.900291, ,           2.2,      4.419933, ,           2.2,      3.987338, ,           2.2,      3.558172, , 
          2.4,      3.357808, ,           2.4,      3.158882, ,           2.4,      3.039525, ,           2.4,      2.988376, ,           2.4,      2.939283, ,           2.4,      2.923342, ,           2.4,      2.915333, ,           2.4,      4.417938, ,           2.4,      3.987902, ,           2.4,      3.563627, , 
          2.6,      3.368757, ,           2.6,       3.17282, ,           2.6,      3.055017, ,           2.6,      3.004443, ,           2.6,       2.95589, ,           2.6,       2.94017, ,           2.6,      2.932272, ,           2.6,      4.420609, ,           2.6,      3.992254, ,           2.6,      3.572084, , 
          2.8,      3.382419, ,           2.8,      3.189188, ,           2.8,      3.072772, ,           2.8,       3.02271, ,           2.8,      2.974607, ,           2.8,       2.95906, ,           2.8,      2.951252, ,           2.8,      4.427917, ,           2.8,      4.000387, ,           2.8,       3.58357, , 
            3,      3.399039, ,             3,      3.208338, ,             3,      3.093292, ,             3,      3.043775, ,             3,      2.996169, ,             3,      2.980796, ,             3,      2.973084, ,             3,      4.440033, ,             3,      4.012481, ,             3,      3.598227, , 
          3.2,      3.419301, ,           3.2,      3.231418, ,           3.2,      3.118406, ,           3.2,      3.070005, ,           3.2,      3.023744, ,           3.2,      3.008879, ,           3.2,       3.00144, ,           3.2,      4.457255, ,           3.2,      4.028918, ,           3.2,      3.616548, , 
          3.4,      3.444653, ,           3.4,      3.260863, ,           3.4,       3.15164, ,           3.4,      3.105499, ,           3.4,       3.06196, ,           3.4,      3.048092, ,           3.4,      3.041162, ,           3.4,       4.48025, ,           3.4,      4.050474, ,           3.4,      3.639561, , 
          3.6,       3.47733, ,           3.6,      3.299728, ,           3.6,       3.19655, ,           3.6,      3.154086, ,           3.6,      3.114669, ,           3.6,      3.102093, ,           3.6,      3.095984, ,           3.6,      4.510153, ,           3.6,      4.078236, ,           3.6,      3.668815, , 
          3.8,      3.519754, ,           3.8,      3.351025, ,           3.8,      3.256318, ,           3.8,      3.217111, ,           3.8,       3.18148, ,           3.8,      3.171807, ,           3.8,      3.166141, ,           3.8,       4.54837, ,           3.8,      4.113809, ,           3.8,      3.706359, , 
            4,      3.573634, ,             4,      3.415713, ,             4,      3.326926, ,             4,       3.29069, ,             4,      3.255034, ,             4,      3.241776, ,             4,      3.234392, ,             4,      4.595867, ,             4,      4.158421, ,             4,      3.753617, , 
          4.2,      3.639244, ,           4.2,      3.489697, ,           4.2,      3.403248, ,           4.2,      3.371978, ,           4.2,      3.339432, ,           4.2,         3.318, ,           4.2,      3.307191, ,           4.2,      4.653168, ,           4.2,      4.212632, ,           4.2,      3.811143, , 
          4.4,       3.71469, ,           4.4,      3.570346, ,           4.4,      3.485327, ,           4.4,      3.453253, ,           4.4,      3.413509, ,           4.4,      3.386533, ,           4.4,      3.373547, ,           4.4,      4.720403, ,           4.4,      4.276223, ,           4.4,      3.878759, , 
          4.6,      3.797803, ,           4.6,       3.65838, ,           4.6,      3.578692, ,           4.6,      3.533054, ,           4.6,      3.478563, ,           4.6,      3.457524, ,           4.6,      3.446082, ,           4.6,      4.795957, ,           4.6,      4.346827, ,           4.6,      3.955164, , 
          4.8,      3.889074, ,           4.8,       3.75793, ,           4.8,      3.675212, ,           4.8,      3.619128, ,           4.8,      3.549025, ,           4.8,      3.519086, ,           4.8,      3.505479, ,           4.8,      4.879123, ,           4.8,      4.423239, ,           4.8,      4.039847, , 
            5,      3.990933, ,             5,      3.872453, ,             5,      3.777091, ,             5,      3.705265, ,             5,      3.634457, ,             5,      3.617401, ,             5,      3.607633, ,             5,      4.971874, ,             5,      4.505757, ,             5,      4.133739, , 
          5.2,      4.105104, ,           5.2,      4.002539, ,           5.2,      3.876324, ,           5.2,      3.800246, ,           5.2,      3.749731, ,           5.2,      3.726972, ,           5.2,      3.714586, ,           5.2,      5.077155, ,           5.2,      4.598551, ,           5.2,      4.238497, , 
          5.4,      4.232553, ,           5.4,      4.146743, ,           5.4,      3.987967, ,           5.4,      3.909832, ,           5.4,      3.861011, ,           5.4,      3.843685, ,           5.4,      3.833611, ,           5.4,      5.199133, ,           5.4,      4.702771, ,           5.4,       4.35987, , 

