Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, ,             3,     0.6349263, , 
          3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, ,           3.2,     0.6348834, , 
          3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, ,           3.4,     0.6348373, , 
          3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, ,           3.6,     0.6347882, , 
          3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, ,           3.8,     0.6347364, , 
            4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, ,             4,     0.6346822, , 
          4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, ,           4.2,     0.6346256, , 
          4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, ,           4.4,     0.6345669, , 
          4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, ,           4.6,     0.6345063, , 
          4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, ,           4.8,     0.6344439, , 
            5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, ,             5,     0.6343799, , 
          5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, ,           5.2,     0.6343143, , 
          5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, ,           5.4,     0.6342473, , 
          5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, ,           5.6,     0.6341791, , 
          5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, ,           5.8,     0.6341097, , 
            6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, ,             6,     0.6340392, , 
          6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, ,           6.2,     0.6339677, , 
          6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, ,           6.4,     0.6338954, , 

