Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            4,      6.344345, ,             4,      6.495091, ,             4,      4.812834, ,             4,       6.57399, ,             4,      6.604881, ,             4,      6.638622, ,             4,      6.652025, ,             4,      6.659289, ,             4,      5.219263, ,             4,      5.593368, ,             4,      6.166831, , 
          4.2,      6.322921, ,           4.2,      6.475779, ,           4.2,      4.788332, ,           4.2,      6.555906, ,           4.2,      6.587528, ,           4.2,      6.623038, ,           4.2,      6.636914, ,           4.2,      6.644622, ,           4.2,      5.193512, ,           4.2,       5.56744, ,           4.2,      6.142901, , 
          4.4,      6.300597, ,           4.4,      6.455626, ,           4.4,      4.763302, ,           4.4,      6.537004, ,           4.4,      6.569377, ,           4.4,      6.606311, ,           4.4,      6.620596, ,           4.4,      6.628627, ,           4.4,      5.167208, ,           4.4,      5.540782, ,           4.4,      6.117915, , 
          4.6,      6.277356, ,           4.6,       6.43461, ,           4.6,      4.737653, ,           4.6,      6.517282, ,           4.6,       6.55045, ,           4.6,      6.588344, ,           4.6,      6.603126, ,           4.6,        6.6112, ,           4.6,      5.140249, ,           4.6,      5.513324, ,           4.6,      6.091877, , 
          4.8,      6.253277, ,           4.8,      6.412756, ,           4.8,      4.711683, ,           4.8,      6.496719, ,           4.8,       6.53074, ,           4.8,      6.569254, ,           4.8,      6.584407, ,           4.8,       6.59246, ,           4.8,      5.112893, ,           4.8,      5.485249, ,           4.8,      6.064837, , 
            5,      6.228455, ,             5,      6.390057, ,             5,      4.685282, ,             5,      6.475286, ,             5,      6.510246, ,             5,      6.549474, ,             5,      6.564688, ,             5,      6.572703, ,             5,      5.085021, ,             5,      5.456472, ,             5,       6.03685, , 
          5.2,      6.202836, ,           5.2,       6.36659, ,           5.2,      4.658525, ,           5.2,      6.452892, ,           5.2,      6.488766, ,           5.2,      6.528943, ,           5.2,      6.544163, ,           5.2,      6.552149, ,           5.2,      5.056683, ,           5.2,      5.426976, ,           5.2,      6.007799, , 
          5.4,      6.176409, ,           5.4,      6.342401, ,           5.4,      4.631627, ,           5.4,      6.429554, ,           5.4,      6.466071, ,           5.4,      6.506898, ,           5.4,      6.521968, ,           5.4,      6.529704, ,           5.4,      5.028014, ,           5.4,      5.396795, ,           5.4,      5.977597, , 
          5.6,      6.149254, ,           5.6,      6.317555, ,           5.6,      4.604823, ,           5.6,      6.405427, ,           5.6,      6.442372, ,           5.6,      6.482524, ,           5.6,      6.497451, ,           5.6,      6.504965, ,           5.6,      4.999102, ,           5.6,      5.365894, ,           5.6,      5.946311, , 
          5.8,      6.121376, ,           5.8,      6.292068, ,           5.8,      4.577314, ,           5.8,      6.380566, ,           5.8,      6.417729, ,           5.8,      6.457626, ,           5.8,      6.471913, ,           5.8,      6.479593, ,           5.8,      4.969563, ,           5.8,      5.334279, ,           5.8,      5.913861, , 
